hora,dia_semana,es_fin_semana,es_hora_pico,linea,estacion,posicion_en_linea,es_transferencia,mes,es_festivo,clima,nivel_congestion
5,5,1,0,K,Acevedo,0.0,1,5,0,0,bajo
18,0,0,1,B,San Antonio,0.0,1,1,0,0,alto
5,4,0,0,B,Floresta,0.667,0,4,0,1,bajo
5,6,1,0,B,Suramericana,0.333,0,3,0,0,bajo
11,6,1,0,A,Tricentenario,0.211,0,6,0,0,bajo
6,5,1,0,B,Suramericana,0.333,0,8,1,0,medio
22,2,0,0,B,San Antonio,0.0,1,11,0,2,alto
12,6,1,0,A,Bello,0.053,0,5,0,2,medio
13,3,0,0,A,Exposiciones,0.632,0,11,0,0,alto
10,4,0,0,A,Madera,0.105,0,12,1,0,bajo
22,1,0,0,B,Suramericana,0.333,0,11,0,1,medio
17,2,0,1,A,San Antonio,0.526,1,2,0,2,alto
15,1,0,0,B,Santa Lucia,0.833,0,11,0,0,medio
12,5,1,0,A,Tricentenario,0.211,0,9,0,0,bajo
17,2,0,1,B,Estadio,0.5,0,4,0,0,alto
10,6,1,0,A,Tricentenario,0.211,0,11,0,1,medio
19,4,0,1,B,Estadio,0.5,0,5,0,2,alto
13,6,1,0,K,Arvi,1.0,0,11,0,0,bajo
19,0,0,1,B,Cisneros,0.167,0,12,0,0,alto
21,4,0,0,A,Parque Berrio,0.474,0,4,0,0,medio
21,0,0,0,A,Envigado,0.895,0,10,0,0,medio
6,1,0,0,A,Hospital,0.368,0,10,0,0,alto
7,6,1,1,B,Trinidad,1.0,0,9,0,0,bajo
21,6,1,0,A,Prado,0.421,0,10,0,2,bajo
11,5,1,0,B,Trinidad,1.0,0,5,0,2,bajo
8,1,0,1,B,Estadio,0.5,0,4,0,0,alto
12,4,0,0,B,Floresta,0.667,0,4,1,0,bajo
7,4,0,1,A,San Antonio,0.526,1,4,0,1,alto
9,5,1,1,A,Envigado,0.895,0,10,0,0,alto
8,5,1,1,A,Acevedo,0.158,1,7,0,0,alto
6,5,1,0,B,Trinidad,1.0,0,11,0,0,bajo
11,1,0,0,A,Hospital,0.368,0,9,0,0,alto
19,1,0,1,A,Prado,0.421,0,2,0,1,alto
5,0,0,0,K,Arvi,1.0,0,4,0,0,bajo
17,0,0,1,B,Cisneros,0.167,0,3,0,0,alto
18,5,1,1,B,Suramericana,0.333,0,12,0,1,alto
9,1,0,1,K,Santo Domingo,0.75,0,5,0,2,alto
6,0,0,0,K,Popular,0.5,0,10,0,0,medio
6,4,0,0,B,Cisneros,0.167,0,2,0,0,medio
8,4,0,1,A,Exposiciones,0.632,0,4,0,1,alto
18,5,1,1,B,San Antonio,0.0,1,10,0,0,alto
12,2,0,0,K,Popular,0.5,0,7,0,1,medio
15,6,1,0,A,Poblado,0.737,0,2,0,0,alto
11,4,0,0,A,Envigado,0.895,0,5,0,2,alto
16,2,0,0,A,Hospital,0.368,0,3,0,1,alto
5,5,1,0,K,Arvi,1.0,0,9,0,2,bajo
13,0,0,0,A,Tricentenario,0.211,0,2,0,1,alto
11,5,1,0,K,Popular,0.5,0,11,0,0,medio
6,0,0,0,B,Suramericana,0.333,0,11,0,1,alto
10,5,1,0,A,Prado,0.421,0,8,1,1,alto
8,0,0,1,B,San Antonio,0.0,1,12,0,0,alto
9,0,0,1,A,Industriales,0.684,0,5,0,2,alto
11,5,1,0,A,Alpujarra,0.579,0,4,0,0,medio
9,1,0,1,B,Floresta,0.667,0,3,0,1,alto
10,5,1,0,B,San Antonio,0.0,1,6,0,2,alto
10,6,1,0,A,Prado,0.421,0,12,0,0,bajo
12,1,0,0,A,Aguacatala,0.789,0,8,0,0,alto
17,2,0,1,A,Universidad,0.316,0,5,0,0,alto
21,3,0,0,A,Alpujarra,0.579,0,11,0,0,alto
13,0,0,0,A,Caribe,0.263,0,2,0,0,alto
18,4,0,1,K,Popular,0.5,0,9,0,0,alto
5,4,0,0,K,Santo Domingo,0.75,0,9,0,1,bajo
16,3,0,0,K,Andalucia,0.25,0,2,0,2,medio
21,2,0,0,A,Parque Berrio,0.474,0,11,0,0,medio
22,1,0,0,K,Popular,0.5,0,4,0,1,bajo
14,3,0,0,A,La Estrella,1.0,0,9,0,0,alto
18,6,1,1,A,Universidad,0.316,0,10,0,1,medio
