hora,dia_semana,es_fin_semana,es_hora_pico,zona_origen,zona_destino,num_estaciones,num_transbordos,duracion_min,ocupacion_tren,clima
8,3,0,1,1,3,4,1,11.8,63.0,0
17,0,0,1,1,0,2,0,5,90.6,0
18,4,0,1,0,1,9,0,5,100,0
7,4,0,1,2,1,7,0,16.3,77.8,1
7,4,0,1,1,3,5,1,13.5,77.5,0
16,6,1,0,2,1,9,0,9.2,22.7,0
17,6,1,0,2,3,20,1,17.7,56.5,1
17,3,0,1,0,1,8,0,10.8,88.0,1
10,2,0,0,3,1,3,0,5.1,75.5,0
6,2,0,0,3,1,4,0,3,71.6,1
17,2,0,1,0,1,6,0,5.2,78.2,0
15,0,0,0,4,1,6,0,24.0,27.4,1
8,3,0,1,2,1,6,0,12.8,60.6,0
9,6,1,0,4,1,9,1,21.1,46.4,0
18,2,0,1,0,1,5,0,5,80.5,2
11,3,0,0,3,1,3,0,7.1,68.5,0
8,3,0,1,1,0,5,0,6.5,70.7,2
10,5,1,0,4,3,15,1,22.5,54.2,0
7,0,0,1,2,1,8,0,9.5,86.0,0
19,1,0,1,1,3,7,1,12.0,78.3,0
9,6,1,0,0,2,13,0,9.1,38.4,0
19,5,1,0,4,1,11,1,21.8,19.0,1
18,3,0,1,2,1,7,0,21.1,75.5,1
19,2,0,1,1,2,9,0,14.5,88.7,0
18,5,1,0,3,2,10,1,21.6,27.5,1
12,1,0,0,3,1,5,0,3,49.5,1
14,3,0,0,0,4,12,0,20.5,37.8,0
19,5,1,0,4,3,12,1,24.9,33.4,0
7,0,0,1,3,1,9,1,18.5,88.9,0
18,1,0,1,1,3,2,1,18.7,76.8,0
12,4,0,0,3,1,1,0,10.9,64.7,0
7,4,0,1,0,1,6,0,9.3,53.3,0
10,5,1,0,2,4,17,1,25.4,50.2,0
7,0,0,1,3,1,9,1,5,85.7,0
18,4,0,1,1,3,7,1,10.2,86.2,0
13,5,1,0,3,1,2,1,5.4,52.5,0
11,0,0,0,0,1,2,0,5.5,65.5,1
7,2,0,1,0,1,7,0,7.0,58.3,2
16,5,1,0,1,3,4,1,16.1,32.6,0
9,4,0,1,2,1,9,0,15.8,83.0,1
10,5,1,0,1,0,7,0,11.4,52.9,1
8,3,0,1,0,1,3,0,6.9,56.7,0
8,0,0,1,1,3,4,1,13.5,86.3,0
12,5,1,0,2,0,11,0,20.2,48.9,1
12,4,0,0,4,1,5,0,13.0,44.2,0
12,4,0,0,4,1,8,0,15.3,35.0,0
8,0,0,1,1,0,5,0,5,74.5,0
19,6,1,0,3,4,15,1,24.7,32.1,0
7,2,0,1,0,1,3,0,10.3,52.0,0
8,0,0,1,0,1,7,0,5,74.7,0
11,4,0,0,2,1,6,0,10.3,67.4,0
9,2,0,1,1,3,9,1,11.7,86.4,0
9,3,0,1,0,1,5,0,5.3,81.0,0
17,4,0,1,1,0,5,0,8.0,95.4,0
10,5,1,0,4,4,1,0,5,32.4,0
11,5,1,0,4,3,13,1,19.3,17.7,0
17,5,1,0,4,1,10,1,20.3,20.3,0
9,5,1,0,4,1,9,1,9.4,45.1,1
6,4,0,0,0,1,3,0,7.9,68.4,0
7,3,0,1,3,1,5,0,3,56.0,2
7,4,0,1,3,1,5,1,13.0,81.6,0
9,6,1,0,0,3,7,1,23.2,67.2,1
8,4,0,1,2,1,8,0,10.7,78.7,0
15,0,0,0,4,0,14,0,25.2,6.5,0
8,1,0,1,0,1,7,0,11.1,87.1,1
10,6,1,0,1,3,7,1,10.2,34.6,0
17,3,0,1,1,2,9,0,16.3,74.3,0
11,0,0,0,0,1,5,0,13.3,34.9,0
17,3,0,1,1,3,3,1,17.0,86.9,0
7,1,0,1,2,1,6,0,12.1,64.1,1
11,0,0,0,3,1,2,0,14.1,41.8,0
12,4,0,0,0,1,4,0,6.5,52.2,0
10,1,0,0,4,0,13,0,17.2,33.8,0
17,4,0,1,1,3,5,1,5.2,87.2,0
15,4,0,0,4,1,12,0,11.8,21.4,0
18,0,0,1,1,2,7,0,16.2,95.0,2
11,3,0,0,3,1,3,0,7.9,57.5,0
14,5,1,0,4,1,15,1,27.3,62.6,0
15,6,1,0,0,1,6,0,15.7,58.5,1
17,4,0,1,2,1,8,0,11.2,86.8,0
